6	26	200	81.51	1
1	5	199	40.24	1
6	28	198	33.89	1
6	29	197	31.87	1
2	16	196	31.37	1
2	9	195	30.26	1
5	26	194	29.25	1
6	27	193	28.81	1
6	26	192	28.74	1
1	4	191	28.31	1
6	29	190	27.06	1
5	25	189	24.53	1
2	19	188	23.1	1
5	25	187	22.59	1
14	24	186	20.81	6
7	19	185	20.61	1
12	30	184	20.29	4
6	29	183	20.21	1
5	25	182	20.04	1
2	9	181	18.14	1
5	26	180	18.09	1
1	8	179	17.28	1
14	22	178	16.15	6
8	22	177	15.85	1
5	25	176	15.25	1
14	21	175	14.98	6
5	30	174	14.75	0
2	18	173	14.64	1
12	30	172	14.01	3
12	31	171	13.96	3
14	21	170	13.1	6
12	29	169	13.08	3
13	31	168	12.49	3
12	32	167	12.3	3
13	33	166	12.16	6
13	30	165	12.04	3
10	16	164	11.89	1
5	25	163	11.89	1
12	27	162	11.8	4
6	28	161	11.79	1
14	24	160	11.66	6
5	29	159	11.59	1
3	20	158	11.23	11
2	22	157	11.18	1
4	17	156	10.95	6
6	27	155	10.87	1
13	32	154	10.69	3
13	30	153	10.56	6
7	13	152	10.55	1
8	24	151	10.49	1
12	28	150	10.44	6
3	24	149	10.39	3
13	29	148	10.2	3
12	33	147	10.18	6
5	24	146	10.02	1
13	28	145	9.88	6
10	16	144	9.87	1
4	17	143	9.72	6
6	31	142	9.71	9
4	19	141	9.49	6
12	30	140	9.44	4
6	30	139	9.41	9
7	14	138	9.3	1
12	1	137	8.93	3
7	27	136	8.76	1
5	27	135	8.75	1
35	31	134	8.6	1
11	24	133	8.49	4
12	32	132	8.4	4
35	31	131	8.3	1
6	30	130	8.16	1
10	17	129	8.09	1
14	21	128	8.05	6
3	14	127	8.03	10
6	27	126	7.93	1
6	27	125	7.88	7
4	19	124	7.86	8
26	2	123	7.81	2
10	18	122	7.6	1
4	17	121	7.58	6
5	28	120	7.55	1
18	25	119	7.52	6
1	8	118	7.46	1
12	31	117	7.36	12
14	23	116	7.2	11
4	18	115	7.16	6
4	18	114	7.13	6
9	21	113	7.07	1
6	30	112	7.06	1
6	29	111	7.02	9
12	28	110	6.97	3
9	23	109	6.95	1
12	31	108	6.93	11
14	24	107	6.9	11
13	32	106	6.87	11
5	32	105	6.87	1
14	22	104	6.83	11
4	16	103	6.82	6
6	26	102	6.82	1
12	28	101	6.63	4
13	31	100	6.57	11
5	25	99	6.56	1
6	32	98	6.54	9
1	6	97	6.51	1
6	30	96	6.46	13
11	21	95	6.43	4
35	32	94	6.41	1
13	31	93	6.41	11
8	24	92	6.41	1
2	0	91	6.39	1
13	27	90	6.34	3
9	22	89	6.31	1
7	2	88	6.3	14
4	19	87	6.27	15
13	29	86	6.24	6
12	29	85	6.17	4
14	21	84	6.05	16
8	12	83	6.03	7
4	18	82	6.03	16
12	26	81	6.01	4
6	30	80	6.01	1
13	31	79	6	6
14	26	78	5.95	17
12	31	77	5.92	4
14	22	76	5.85	6
4	18	75	5.82	18
13	28	74	5.8	16
4	26	73	5.74	6
5	29	72	5.7	1
12	30	71	5.69	6
12	30	70	5.61	4
13	30	69	5.61	6
1	8	68	5.58	1
10	19	67	5.55	1
8	21	66	5.49	1
5	26	65	5.49	13
8	21	64	5.47	1
8	21	63	5.46	1
13	29	62	5.46	9
10	19	61	5.45	1
14	21	60	5.42	19
12	29	59	5.38	4
18	28	58	5.37	14
2	9	57	5.34	1
12	27	56	5.32	9
2	19	55	5.31	1
4	20	54	5.3	8
14	23	53	5.29	11
10	19	52	5.27	1
4	17	51	5.24	20
14	7	50	5.23	11
13	28	49	5.23	6
14	24	48	5.21	17
8	23	47	5.2	1
2	14	46	5.19	1
7	15	45	5.15	1
13	32	44	5.14	9
12	29	43	5.14	9
14	23	42	5.13	11
2	12	41	5.13	1
6	27	40	5.12	21
3	16	39	5.12	4
14	26	38	5.12	22
5	27	37	5.09	1
2	19	36	5.07	1
4	16	35	5.05	18
13	28	34	5.04	3
5	28	33	5.03	7
4	19	32	5.02	3
4	19	31	5.01	20
13	29	30	5	17
4	18	29	5	6
35	32	28	5	1
14	27	27	4.98	3
6	27	26	4.98	1
5	27	25	4.97	1
13	30	24	4.94	11
12	30	23	4.92	4
14	25	22	4.91	11
12	32	21	4.91	11
5	27	20	4.9	1
10	17	19	4.88	1
13	29	18	4.88	14
18	8	17	4.87	7
1	10	16	4.85	1
13	31	15	4.84	12
18	26	14	4.81	6
4	19	13	4.79	6
4	20	12	4.73	2
14	23	11	4.7	10
4	20	10	4.68	3
14	22	9	4.67	11
4	16	8	4.63	20
7	11	7	4.61	1
9	22	6	4.6	1
13	27	5	4.6	6
13	30	4	4.59	6
12	30	3	4.58	9
13	27	2	4.57	9
6	27	1	4.54	3
